领域	开发模块	职责/开发内容	当前状态	文档优先级	文档编写阶段	排期	主要缺口/备注
总体	模块边界与依赖	确定共用基础设施、岛屿大地图、塔防战场、编辑器工具四个领域及依赖关系	待成文	P0	阶段0：基线盘点	07/22-07/23	作为所有模块文档的目录与边界基准
共用基础设施	启动流程	初始化资源、配置、经营系统、战斗系统、UI并加载首张世界地图	部分实现	P0	阶段1：共用架构	07/24-07/30	BootFlowManager等仍是占位，需要固化启动顺序
共用基础设施	模式切换	大地图进入战场、战斗重开、下一关、返回经营以及生命周期清理	基础可用	P0	阶段1：共用架构	07/24-07/30	统一说明LoadWorldMap与LoadBattleMap及状态清理
共用基础设施	资源加载	YooAsset、Prefab、配置、特效及资源加载与缓存	基础可用	P1	阶段1：共用架构	07/24-07/30	补资源命名、缓存释放和失败处理
共用基础设施	数据配置	Excel到Luban到C#、Bin、Json的生成与运行时读取	已实现	P0	阶段1：共用架构	07/24-07/30	明确Data/gen_all.bat和生成物边界
共用基础设施	本地化	UI、配置名称、描述和语言切换	基础可用	P1	阶段1：共用架构	07/24-07/30	补动态文本刷新和缺失键规则
共用基础设施	UI框架	Page、Panel、Popup、Overlay、Toast、Stack、Exclusive和层级管理	已实现	P0	阶段1：共用架构	07/24-07/30	补页面生命周期、互斥和外部点击关闭规范
共用基础设施	Tooltip系统	全局TooltipView、触发器、定位、延迟、复用卡片提示	已实现	P1	阶段1：共用架构	07/24-07/30	形成可复用接入示例
共用基础设施	输入系统	World、Battle、UI输入模式，鼠标触摸和UI输入过滤	基础可用	P0	阶段1：共用架构	07/24-07/30	明确模式切换、焦点和输入冲突优先级
共用基础设施	消息事件系统	跨模块事件、任务事件、战斗事件、物品事件和UI通知	部分实现	P0	阶段1：共用架构	07/24-07/30	事件入口分散，Story事件仍有占位实现
共用基础设施	存档系统	经营长期状态、离线时间、地图对象变化、玩家位置和版本兼容	基础可用	P0	阶段1：共用架构	07/24-07/30	Story中途状态和版本迁移需补齐
共用基础设施	地图运行时	世界与战场共用地块、对象索引、生成、查询、持久化和路径能力	已实现	P0	阶段1：共用架构	07/24-07/30	强调单一CurrentMap和两种显式加载入口
共用基础设施	物品基础	长期ItemManager与单场BattleItemManager的职责分离	已实现	P0	阶段1：共用架构	07/24-07/30	必须写清持久背包与局内物品边界
共用基础设施	音频与特效	世界和战场表现播放、生命周期、对象复用	部分实现	P1	阶段1：共用架构	07/24-07/30	Ability音效目前仅日志，尚未正式接入
共用基础设施	通用异步与日志	Task、主线程调度、异常记录、调试日志和性能观测	基础可用	P2	阶段1：共用架构	07/24-07/30	补线程边界与错误恢复约定
岛屿大地图	世界地图加载	加载世界地图配置、创建运行时并恢复经营状态	已实现	P0	阶段2：大地图核心	07/31-08/06	说明进入世界和从战场返回的恢复流程
岛屿大地图	地图生成与对象索引	地块生成、地图对象生成、索引、占用和查询	已实现	P0	阶段2：大地图核心	07/31-08/06	补对象变化与存档关系
岛屿大地图	玩家控制	玩家生成、移动、朝向、状态和位置恢复	基础可用	P0	阶段2：大地图核心	07/31-08/06	补异常位置与重生规则
岛屿大地图	相机与大地图输入	相机跟随、拖拽缩放、点选和UI输入隔离	基础可用	P1	阶段2：大地图核心	07/31-08/06	补输入优先级及移动端规则
岛屿大地图	导航与寻路	路径计算、移动目标、可达性校验和地图查询	已实现	P0	阶段2：大地图核心	07/31-08/06	补动态障碍与失败处理
岛屿大地图	地图交互与行动	选择对象、移动到目标、执行采集建造耕种等行动	基础可用	P0	阶段2：大地图核心	07/31-08/06	形成统一行动状态机说明
岛屿大地图	资源点与采集	资源点生成、工具校验、采集进度、产出和枯竭	已实现	P0	阶段2：大地图核心	07/31-08/06	补刷新与存档规则
