group,name,value,description
SkillAbilityBehavior,None,0,None
SkillAbilityBehavior,NoTarget,1,No target ability
SkillAbilityBehavior,UnitTarget,2,Unit target ability
SkillAbilityBehavior,PointTarget,4,Point target ability
SkillAbilityBehavior,Passive,8,Passive ability
SkillAbilityBehavior,Toggle,16,Toggle ability placeholder
SkillAbilityBehavior,Channel,32,Channel ability
SkillAbilityBehavior,Aoe,64,Area of effect flag
SkillTargetTeam,None,0,None
SkillTargetTeam,Friendly,1,Friendly target
SkillTargetTeam,Enemy,2,Enemy target
SkillTargetTeam,Both,3,Both teams
SkillTargetType,None,0,None
SkillTargetType,Caster,1,Caster
SkillTargetType,Unit,2,Unit
SkillTargetType,Point,3,Point
SkillTargetType,Area,4,Area
SkillTargetType,CurrentTargets,5,Current context targets
SkillActionType,None,0,None
SkillActionType,Damage,1,Damage
SkillActionType,Heal,2,Heal
SkillActionType,ApplyModifier,3,Apply modifier
SkillActionType,FireEvent,4,Fire event
SkillModifierType,None,0,None
SkillModifierType,Property,1,Property modifier
SkillModifierType,Periodic,2,Periodic modifier
SkillModifierType,State,3,State modifier
SkillModifierType,Aura,4,Aura placeholder
SkillModifierPropertyType,None,0,None
SkillModifierPropertyType,MoveSpeedPercent,1,Move speed percent
SkillModifierPropertyType,AttackSpeedPercent,2,Attack speed percent
SkillModifierPropertyType,DamageBonus,3,Damage bonus
SkillModifierPropertyType,ArmorBonus,4,Armor bonus
SkillModifierPropertyType,IncomingDamagePercent,5,Incoming damage percent
SkillModifierPropertyType,OutgoingDamagePercent,6,Outgoing damage percent
SkillUnitState,None,0,None
SkillUnitState,Stunned,1,Stunned
SkillUnitState,Silenced,2,Silenced
SkillUnitState,Rooted,3,Rooted
SkillUnitState,Invulnerable,4,Invulnerable
SkillDamageType,None,0,None
SkillDamageType,Physical,1,Physical damage
SkillDamageType,Magical,2,Magical damage
SkillDamageType,Pure,3,Pure damage
SkillTriggerEventType,None,0,None
SkillTriggerEventType,AbilityCast,1,Ability cast
SkillTriggerEventType,DamageDealt,2,Damage dealt
SkillTriggerEventType,DamageTaken,3,Damage taken
SkillTriggerEventType,Healed,4,Healed
SkillTriggerEventType,AttackLanded,5,Attack landed
SkillTriggerEventType,Death,6,Death
